-213,436141967773 -42,69
-213,436141967773 -85,37
-213,436141967773 -128,06
-60,5741271972656 -140,18
-60,5741271972656 -152,29
-60,5741271972656 -121,72
285,111389160156 -22,01
285,111389160156 77,7
285,111389160156 146,84
285,111389160156 215,97
285,111389160156 285,11
252,59245300293 278,61
252,59245300293 272,1
252,59245300293 265,6
252,59245300293 259,1
90,3390579223633 220,14
90,3390579223633 187,69
90,3390579223633 155,24
90,3390579223633 122,79
-296,756072998047 12,92
-296,756072998047 -64,5
-296,756072998047 -141,92
-296,756072998047 -219,34
-164,607650756836 -270,33
-164,607650756836 -243,9
-164,607650756836 -217,47
-164,607650756836 -191,04
159,182342529297 -99,85
159,182342529297 -35,09
159,182342529297 29,67
159,182342529297 94,42
-313,320037841797 64,68
-313,320037841797 -29,82
-313,320037841797 -124,32
-313,320037841797 -218,82
211,425399780273 -208,37
211,425399780273 -103,42
211,425399780273 1,53
